id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante,revisado_manualmente,color_numbers
3,Curve Classification Based on Mean-Variance Feature Weighting and Its Application,include,none,alta,"B-splines centrales para clasificacion de curvas, discusion metodologica explicita de la base",no,no,
4,Optimal design of experiments for functional linear models with dynamic factors,include,none,alta,Discute explicitamente distintos escenarios de conjuntos de bases para representar la funcion coeficiente,no,no,
11,Unified Principal Component Analysis for Sparse and Dense Functional Data under Spatial Dependency,include,none,alta,"FPCA con tensor product splines, metodologia central de representacion en bases",no,no,
14,Two-sample tests for functional data using characteristic functions,include,none,alta,Representacion en bases funcionales es paso central del metodo de dos muestras propuesto,no,no,
20,Wavelet estimation of the dimensionality of curve time series,include,none,alta,"Estimacion de dimension via representacion wavelet explicita, directamente relevante a PR4",no,no,
31,Analyzing Electricity Demand in Colombia: A Functional Time Series Approach,include,none,alta,FDA aplicado a serie economica (demanda electrica) con suavizado tipo spline explicito,no,no,
42,On Estimation of the Effect Lag of Predictors and Prediction in a Functional Linear Model,include,none,alta,"Expansion en sistema de bases (FPCA/splines) para funcion coeficiente, penalizacion explicita",no,no,
43,Robust estimation for semi-functional linear regression models,include,none,alta,B-splines centrales para aproximar parametro de regresion funcional y componente no parametrica,no,no,
45,Analysis of a GPS Network Based on Functional Data Analysis,include,none,alta,"Evalua varias bases de funciones (Fourier, P-splines) explicitamente para reconstruccion de series GPS",no,no,
49,Estimation and diagnostic for single-index partially functional linear regression model with p-order,include,none,alta,"B-spline explicito en titulo/palabras clave, aplicado a pronostico fotovoltaico",no,no,
50,Route identification in the National Football League: An application of model-based curve clustering,include,none,media,"Usa base polinomial de Bernstein para representar curvas; discusion de eleccion de base limitada, aplicacion deportiva (E4 borderline)",no,no,
51,"Bayesian Semiparametric Functional Mixed Models for Serially Correlated Functional Data, With Applic",include,none,alta,"Marco bayesiano con smoothing splines/wavelets explicitos, aplicacion medica con metodologia sustantiva (excepcion E4)",no,no,
58,Adaptive Generalized P-Splines for Functional Data: A Statistical Framework via Blockwise GSVD,include,none,alta,"P-splines adaptativos, seleccion de nodos y regularizacion, nucleo metodologico de representacion en bases",no,no,
