id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante
337,Real-Time Interpolation Of Streaming Data,exclude,I1,media,"Interpolacion spline cubica en tiempo real de datos en streaming; trabajo de analisis numerico/CS, no FDA estadistica de conjuntos de curvas.",no
348,FACTOR-AUGMENTED MODEL FOR FUNCTIONAL DATA,include,none,alta,Modelo aumentado por factores para FD; aborda explicitamente la mala especificacion de bases de suavizado. PR1/PR3. Posible duplicado de id 2491/2495.,no
571,Non-linear local registration of functional data,exclude,I1,alta,"Registro espacial de activaciones fMRI/anatomía cortical vía splines de placa delgada; ""funcional"" = fMRI, no representación FDA en bases",no
621,Optimal partitioning for linear mixed effects models: Applications to identifying placebo responders,exclude,E1,media,"Partición óptima de modelos mixtos para identificar respondedores a placebo; no discute elección/calidad de base, cuerpo omitido",si
691,Independent component models for replicated point processes,exclude,I1,media,"Modelo de componentes independientes para procesos puntuales; suavizado spline es incidental, tema central es teoría de point processes",si
911,Functional Availability Modelling of CNC Machine Tools,exclude,I1,media,"""Functional"" en sentido de ingenieria de confiabilidad, no de analisis de datos funcionales",no
1009,Forecasts of COPD mortality in Australia: 2006-2025,exclude,E4,media,"Pronóstico de mortalidad por EPOC (dominio salud), sin discusión visible de elección de base.",si
1018,Association of cardiovascular events and lipoprotein particle size: Development of a risk score base,exclude,E4,media,"Score de riesgo cardiovascular vía FDA, dominio médico sin discusión de base visible.",si
1042,Characterization and clustering of intra-day physical activity patterns using accelerometry among se,exclude,E4,media,"Patrones de actividad física en adultos (dominio salud), sin discusión de base visible.",si
1070,A functional data method for causal dynamic network modeling of task-related fMRI,exclude,E4,media,"Modelado causal de redes fMRI (dominio neurociencia), señal mínima de discusión de base.",si
1184,Similarities within a multi-model ensemble: Functional data analysis framework,exclude,E4,alta,"Comparación de ensamble multi-modelo climático, meteorología (dominio ajeno explícito en E4), sin señal de discusión de base.",no
1187,Exploring COVID-19 in mainland China during the lockdown of Wuhan via functional data analysis,exclude,E4,media,"Exploración de COVID-19 en China vía FDA, dominio epidemiológico con señal mínima de discusión de base.",si
1196,"Learning delay dynamics for multivariate stochastic processes, with application to the prediction of",exclude,I1,media,Dinámica de retraso para procesos estocásticos (ilustrado en COVID-19); no queda claro que aborde representación en bases o FPCA.,si
1209,On Consistent Hypothesis Testing In General Hilbert Spaces,exclude,I1,media,Resumen extendido (actas ICSTA); metodo general de contraste de hipotesis en espacios de Hilbert via proyecciones; no representacion en bases ni FPCA ni aplicacion economica real.,no
1255,Detecting British Columbia coastal rainfall patterns by clustering Gaussian processes,exclude,E4,media,"Clustering de patrones de lluvia costera via procesos gaussianos por similitud de kernel; dominio meteorologico, sin discusion de base. Etapa1 tambien E4.",si
1276,Weak convergence of the conditional single index U-statistics for locally stationary functional time,exclude,I1,media,"Teoria asintotica de U-estadisticos condicionales de indice unico para FTS localmente estacionarias; regresion kernel NW, no representacion en bases ni FPCA ni aplicacion economica.",no
1345,Single index regression for locally stationary functional time series,exclude,I1,media,"Teoria asintotica de regresion de indice unico para FTS localmente estacionarias; estimador kernel NW, TCL; no representacion en bases ni FPCA ni aplicacion economica.",no
1347,Forecasting the Colombian electricity spot price under a functional approach,include,none,media,"Pronostico del precio spot de electricidad colombiana via enfoque funcional; serie economica volatil, contexto latinoamericano (PR5). El fetch trajo el PDF equivocado; decision por titulo.",si
1350,The Demographics of Defense and Security in Japan,exclude,E1,media,"Pronostico demografico japones via modelos de datos funcionales coherentes, usado como herramienta para politica de defensa; sin discusion de eleccion/calidad de base. NOTA: revisor lo incluyo en Etapa 1.",si
1370,A nonparametric test for stationarity in functional time series,exclude,I1,media,"Test no parametrico de estacionariedad para FTS via distancia L2 entre operadores de densidad espectral; herramienta de contraste, no representacion en bases ni FPCA ni aplicacion economica.",si
1423,The Maximum of the Periodogram of a Sequence of Functional Data,exclude,I1,media,"Distribucion asintotica del maximo del periodograma de datos funcionales; herramienta de contraste espectral, no representacion en bases ni FPCA ni aplicacion economica.",si
1445,Modeling and forecasting of the high-dimensional time series data with functional data analysis and ,exclude,E4,media,"Modelado/pronostico de temperatura superficial via FDA + aprendizaje automatico; dominio meteorologico/climatico, sin discusion sustantiva de base. Pre-marcado posible E4 en Etapa 1.",si
1495,NITPicker: Selecting time points for follow-up experiments,exclude,E4,media,"NITPicker: algoritmo de diseno experimental para elegir puntos de tiempo de seguimiento usando prediccion de datos funcionales; herramienta de bioinformatica, no representacion en bases. Pre-marcado posible E4 en Etapa 1.",no
1497,Asymptotic results of the randomly censored kernel-type expectile regression estimator for functiona,exclude,I1,media,"Teoria asintotica del estimador kernel de regresion expectil censurada para datos funcionales dependientes; regresion nucleo, no representacion en bases ni FPCA ni aplicacion economica.",no
1546,Predicting microRNA targets in time-series microarray experiments via functional data analysis,exclude,E4,media,"Prediccion de dianas microRNA via FDA; introduccion/conclusion no muestran discusion sustantiva de base, aplicacion accesoria",si
1811,Frontiers in time series and financial econometrics: An overview,exclude,I1,media,"Editorial/overview de un numero especial de econometria de series temporales; no es un estudio individual de FDA, solo menciona de paso functional index coefficient models",no
1917,Spatial Bayesian latent factor regression modeling of coordinate-based meta-analysis data,exclude,I1,alta,"Meta-analisis espacial de coordenadas de activacion fMRI, no representacion de curvas via bases/FPCA; colision terminologica functional=fMRI.",no
2198,The Christoffel-Darboux kernel for data analysis,exclude,I1,media,Libro sobre el kernel de Christoffel-Darboux para análisis de datos/ML general; no es FDA/representación en bases ni FPCA. Solo página de aterrizaje.,si
2202,Atm transaction simulation: combination of ACDs and Cox process,exclude,E1,media,FDA usada solo como método accesorio para aproximar la intensidad de un proceso de Cox; el trabajo trata de modelos ACD/Cox para cajeros. Sin discusión de base.,si
2231,Distributional Limit Theory for Optimal Transport,exclude,I1,alta,"Teoría de límite distribucional para transporte óptimo (planes, mapas, costos), distancia de Wasserstein. No es FDA.",no
2266,Estimation for high-frequency data under parametric market microstructure noise,exclude,I1,alta,"Estimación para datos de alta frecuencia bajo ruido de microestructura de mercado; 'funcionales de volatilidad' = funcionales (mapeos), no FDA. Colisión terminológica.",no
2271,Detecting practically significant dependencies in metric spaces via distance correlations,exclude,I1,media,"Test de dependencias significativas en espacios métricos vía correlación de distancias; datos funcionales es solo uno de varios settings cubiertos, no el foco. No aborda representación en bases.",si
2324,A uniform bound on the operator norm of sub-Gaussian random matrices and its applications,exclude,I1,media,"Cota uniforme de la norma de operador de matrices aleatorias sub-Gaussianas; teoría de matrices aleatorias, modelos de factores funcionales solo como ilustración. No aborda representación en bases.",si
2367,Intra-day co-movements of crude oil futures: China and the international benchmarks,include,none,media,Co-movimientos intradía de futuros de petróleo crudo (China vs benchmarks); clustering de datos funcionales sobre curvas de retorno intradía. Aplicación FDA a series financieras (PR5). Solo página de aterrizaje.,si
2429,Functional Random Forest with Adaptive Cost-Sensitive Splitting for Imbalanced Functional Data Classification,exclude,E1,media,"Random Forest funcional para clasificacion desbalanceada; usa base/FPCA solo como reduccion de dimension, aporte es el desbalance.",si
2454,On Metrics for Analysis of Functional Data on Geometric Domains,exclude,I1,alta,Metricas de geometria metrica y transporte optimo (Gromov-Hausdorff/Wasserstein) para 'campos'; no aborda representacion en bases ni FPCA.,no
2491,Factor-augmented model for functional data,include,none,alta,Modelo aumentado por factores para datos funcionales; aborda directamente cuándo las bases de suavizado son inadecuadas. Posible duplicado de 2495/348.,no
2492,"Controlling Statistical, Discretization, and Truncation Errors in Learning Fourier Linear Operators",exclude,I1,alta,"Teoría de operator learning (Fourier Neural Operator) para operadores solución de EDP; 'datos funcionales' en sentido de espacios de funciones, no FDA de curvas.",no
2496,A Fourier continuation framework for high-order approximations,exclude,I1,alta,Análisis numérico: continuación de Fourier para eliminar fenómeno de Gibbs en aproximaciones de alto orden en solvers de EDP. No es FDA.,no
2525,A Study of Functional Depths,exclude,I1,media,"Trata profundidad funcional para ranking/clasificacion, no representacion en bases ni FPCA ni aplicacion economica visible.",si
2526,Distribution-Free Stochastic Analysis and Robust Multilevel Vector Field An,exclude,E3,alta,Duplicado no detectado antes: mismo titulo exacto que id 1861 (ya incluido en Etapa 1) e id 1995 (ya excluido E3 en Etapa 1).,no
2532,Modeling continuous monitoring glucose curves by Beta generalized non-param,exclude,I1,media,Modelo parametrico Beta con suavizado por verosimilitud local; el resumen no menciona sistema de bases ni FPCA.,si
2566,A Multi-Layer Regression based Predicable Function Fitting Network,exclude,I1,media,"Red de ajuste de funciones de caracter general (ingenieria/reconocimiento de patrones); menciona Fourier/wavelet solo como antecedente, sin discusion de FDA estadistica.",si
