id,title_short,decision,reason_code,confidence,rationale
2400,Cointegrated Density-Valued Linear Processes,include,none,baja,Título sugiere procesos lineales funcionales densidad-valuados; solo título
2401,Machine Learning Assisted Orthonormal Basis Selection for Functional Data Analysis,include,none,alta,"Selección de base ortonormal para FDA, tema central PR1"
2402,Generalized dynamic functional principal component analysis,include,none,alta,FPCA dinámica para series temporales funcionales
2403,A wavelet-based method in aggregated functional data analysis,include,none,alta,"Método wavelet en FDA agregada, ya confirmado relevante en Fase 4"
2404,Covariance estimation for derivatives of functional data using an additive penalty in P-splines,include,none,alta,"Estimación de covarianza con P-splines en FDA, PR1/PR3"
2405,Efficient Multidimensional Functional Data Analysis Using Marginal Product Basis Systems,include,none,alta,Sistemas de bases producto marginal para FDA multidimensional
2406,Efficient Bayesian hierarchical functional data analysis with basis function approximations using Ga,include,none,alta,Aproximaciones por funciones base en FDA jerárquica bayesiana
2407,Estimation of Functional Principal Components from Sparse Functional Data,include,none,alta,"FPCA para datos funcionales dispersos, PR2"
2408,Efficient spline orthogonal basis for representation of density functions,include,none,alta,Base spline ortogonal para representación de densidades
2409,Splines 'n Lines: Rest-frame galaxy spectral energy distributions via Bayesian functional data analy,include,media,media,FDA aplicado a espectros de galaxias pero con discusión sustantiva de representación en bases irregulares (E4 no aplica por profundidad metodológica)
2410,Sparse Functional Principal Component Analysis in High Dimensions,include,none,alta,FPCA dispersa en alta dimensión
2411,Compositional splines for representation of density functions,include,none,alta,Splines composicionales para representación de densidades
2412,Constrained variable clustering and the best basis problem in functional data analysis,include,none,alta,Problema de mejor base en clustering de variables FDA
2413,Online Functional Principal Component Analysis on a Multidimensional Domain,include,none,alta,FPCA en línea para dominio multidimensional
2414,Bayesian Multivariate Sparse Functional Principal Components Analysis,include,none,alta,FPCA bayesiana multivariante dispersa
2415,Filtrated Common Functional Principal Components for Multivariate Functional data,include,media,media,FPCA común filtrada; aplicación a LFP pero contribución es metodológica (FPCA)
2416,Functional principal component analysis with informative observation times,include,none,alta,FPCA con tiempos de observación informativos
2417,Penalized Spline M-Estimators for Discretely Sampled Functional Data: Existence and Asymptotics,include,none,alta,"Estimadores M penalizados por splines para FDA, PR3"
2418,Inference for Model Misspecification in Interest Rate Term Structure using Functional Principal Comp,include,none,alta,"FPCA aplicado a estructura de tasas de interés, PR5"
2419,Distribution of a Non-parametric Wavelet-based Statistic for Functional Data,include,none,alta,Estadístico basado en wavelets para FDA
2420,Sparse Longitudinal Functional Principal Component Analysis for Episodic Ambulatory Behavioral Asses,exclude,E4,media,"FPCA aplicada a monitoreo de fatiga mental; único aporte es la aplicación, sin discusión sustantiva de bases"
2421,Bayesian Functional Data Analysis over Dependent Regions and Its Application for Identification of D,include,media,media,FDA bayesiana en regiones dependientes; aplicación a metilación pero con contribución metodológica de partición en ventanas
2422,Randomized Spline Trees for Functional Data Classification: Theory and Application to Environmental ,include,media,media,Árboles de splines aleatorizados; aplicación ambiental pero con discusión metodológica de representación en splines
2423,Fast Bayesian Basis Selection for Functional Data Representation with Correlated Errors,include,none,alta,"Selección bayesiana de base para FDA, ya confirmado como ancla en Fase 4 arXiv"
2424,Wavelet-based estimation in aggregated functional data with positive and correlated errors,include,none,alta,Estimación wavelet en FDA agregada con errores correlacionados
2425,Splinets -- Orthogonal Splines and FDA for the Classification Problem,include,none,alta,Splinets: bases ortogonales de splines para clasificación FDA
2426,A unified approach for morphometrics and functional data analysis with machine learning for craniode,exclude,E4,media,Aplicación de FDA a morfometría craneodental de musarañas sin discusión sustantiva de elección de base
2427,FPCA-Enhanced Simulation-Based Inference for Robust Type Ia Supernova Cosmology,exclude,E4,media,"FPCA como herramienta accesoria para inferencia cosmológica de supernovas, sin discusión de bases"
2428,Wavelet-Based Bayesian Hierarchical Modeling with Regularized Horseshoe Priors for Spatially Correla,include,media,media,Modelado jerárquico wavelet con horseshoe priors; aplicación ambiental pero con discusión sustantiva de regularización de coeficientes wavelet
2429,Functional Random Forest with Adaptive Cost-Sensitive Splitting for Imbalanced Functional Data Class,include,none,alta,"Random Forest funcional con splitting adaptativo, método FDA nativo"
